Name,Website,Aliases,Description,Related Disease 1,Related Disease 2,Related Disease 3,Related Disease 4,Related Disease 5
疱疹,https://jbk.39.net/zhengzhuang/pz/,(热疮),疱疹为局限性空腔含液体高起皮面的皮肤损害，为常见皮肤病症状之一。水疱直径一般小于1cm，超过1cm者为大疱。疱壁松弛易破者为松弛性水戒，疱壁紧张者称为紧张性水疱。发生在表皮以内的癌称为表皮内癌，发生在表皮...,羊胡疮,小儿热疮,眼睑热性疱疹,肉芽肿,水痘-带状疱疹性葡萄膜炎
发烧,https://jbk.39.net/zhengzhuang/fs/,(发热),发热(feVer，pyrexie)是指病理性体温升高，是人体对致热原的作用使体温调节中枢的调定点上移而引起，是临床上最常见的症状，是疾病进展过程中的重要临床表现。可见于多种感染性疾病和非感染性疾病。,夏季感冒,血清病性荨麻疹,有头疽,痈,恶寒发热
脸上长斑,https://jbk.39.net/zhengzhuang/lszb/,,脸上长斑点要当心。中医认为，皮肤与脏腑、经络、气血等有密切关系，只有脏腑功能正常，气血充盈、经脉通畅，机体、容颜才不易衰老，肌肤光洁细腻，不会产生斑点。,黄褐斑,雀斑,,,
牙龈出血,https://jbk.39.net/zhengzhuang/yycx/,,牙龈出血是口腔科常见的症状之一。细菌是导致牙龈炎症，流血、肿痛、萎缩…的原因。一般情况下，牙龈出血常见于牙周炎的早期——牙龈炎。牙龈出血不仅仅出现于口腔科的疾病，它还会出现于全身的其它疾病，可能预示着...,创伤性口炎,牙周炎,牙周病,急性淋巴细胞性白血病,白血病
咽喉炎,https://jbk.39.net/zhengzhuang/yhy/,,咽喉炎，是由细菌引起的一种疾病，可分为急性咽喉炎和慢性咽喉炎两种。,喉喑,喉痈,丹痧,治猩红热,A链球菌群感染
皮肤瘙痒,https://jbk.39.net/zhengzhuang/pfsy/,,皮肤瘙痒是指无原发皮疹，但有瘙痒的一种皮肤病。皮肤瘙痒症属于神经精神性皮肤病，是一种皮肤神经官能症疾患。临床上将只有皮肤瘙痒而无原发性皮肤损害者称之为瘙痒症。属中医“痒风”的范畴。 皮肤瘙痒分普通...,淤胆型肝炎,接触性荨麻疹,湿热蕴脾,蚂蚁叮咬,皮炎
胸痛,https://jbk.39.net/zhengzhuang/xt1/,(胸部疼痛),胸痛是临床上常见的症状，原因颇多，且胸痛的部位和严重程度，并不一定和病变的部位和严重程度相一致。外伤、炎症、肿瘤及某些理化因素所致组织损伤刺激肋间神经，膈神经，脊神经后根和迷走神经公分布在食管，支...,时行感冒,痰火,艾滋病导致的肺结核,心脏病,肝火犯肺
宫颈囊肿,https://jbk.39.net/zhengzhuang/gjnz/,(纳氏腺囊肿),宫颈囊肿是慢性宫颈炎的一种，是常见的一种妇科疾病，患有宫颈囊肿的女性主要会出现阴道分泌物增多，呈粘液脓性，阴道分泌物的刺激可引起外阴瘙痒及灼热感，也可出现经间期出血、夫妻生活后出血等症状。,宫颈复发癌,宫颈癌,重度宫颈糜烂,中度宫颈糜烂,宫颈炎
婴儿湿疹,https://jbk.39.net/zhengzhuang/yesz/,,婴儿湿疹是婴儿时期常见的一种皮肤病，属于变态反应性(或称为过敏性)疾病，至于确切的病因有时很难找到。通常把婴儿湿疹称为奶癣，如果用治疗癣的药物来 治疗婴儿湿疹，病情会加重。 婴儿湿疹最早见于2-3个月折婴...,特应性皮炎,奶癣,湿疹,,
乳房胀痛,https://jbk.39.net/zhengzhuang/rfzt/,,女性在不同时期由于生理或病理变化引起的乳房胀痛。常常分为病理性和生理性。,布鲁氏菌病,溢饮,乳腺炎,乳痈,
月经稀少,https://jbk.39.net/zhengzhuang/yjxs/,,月经稀少：正常人每次月经的总量在50—60毫升之间。每个人的月经血量多少并不完全相同，即使是同一个人每次月经血量多少也并不完全相同。如果月经周期正常，一次月经血量少于10毫升或少到连两层纸都湿不透，就算月...,血虚眩晕,行经泄泻,无排卵性不孕症,不孕症,输卵管结核
上腹部疼痛,https://jbk.39.net/zhengzhuang/sfbtt/,,上腹部疼痛是指由于各种原因引起的腹腔内外脏器的病变，而表现为腹部的疼痛。腹痛可分为急性与慢性两类。病因极为复杂，包括炎症、肿瘤、出血、梗阻、穿孔、创伤及功能障碍等。,胃炎,肝炎,胰腺炎,电冰箱胃炎,胆石
睾丸疼痛,https://jbk.39.net/zhengzhuang/gwtt/,,疼痛多见于睾丸炎和损伤，睾丸炎除血行感染外，更常见的是细菌经尿道逆行至附睾和睾丸，造成附睾炎、睾丸炎，临床可见附睾与睾丸肿胀和疼痛。睾丸损伤时有外伤史和局部的肿胀及淤血。剧烈运动或房事、暴力有时可...,前列腺痛,死精症,男性生殖器外伤,睾丸炎,布病
丘疹,https://jbk.39.net/zhengzhuang/qz/,,丘疹（papule）为一限局性隆起皮肤表面的实质性损害。视诊可看到，触诊可触及丘状损害，一般范围较小其直径通常在1cm以内。若丘疹扩大或丘疹互相融合成扁平隆起呈片状则称为斑块。丘疹多为圆形、类圆形、多角形或不...,急性荨麻疹,慢性湿疹,亚急性湿疹,疣,肥疮
乳房肿块,https://jbk.39.net/zhengzhuang/rfzk/,,乳房肿块可能是妇女心中的一大恶梦，如果您有一天在洗澡时，无意中摸到胸部中好像多出一块东西，那要怎么去面对?乳房肿块通常是指由于乳房组织的构成不同而使内部长有肿块的一种疾病。乳房肿块是最常见的乳...,乳腺炎,乳痈,乳痨,乳发,男子乳房发育症
脾虚,https://jbk.39.net/zhengzhuang/px/,,脾虚，中医术语。泛指因脾气虚损引起的一系列脾生理功能失常的病理现象及病证。包括脾气虚、脾阳虚、中气下陷、脾不统血等证型。多因饮食失调.劳逸失度，或久病体虚所引起。脾有运化食物中的营养物质和输布水液...,心脾两虚,慢脾风,脾虚泄泻,脾疳,
下巴长痘,https://jbk.39.net/zhengzhuang/xbzd/,,下巴长痘代表内分泌失调.，常常与荷尔蒙分泌有关，如果是女性，与卵巢或子宫等生殖系统有关;男性可能是痔疮或便秘等问题。,粉刺,,,,
腹股沟淋巴结肿大,https://jbk.39.net/zhengzhuang/fgglbjzd/,,淋巴结肿大非常多见，常提示淋巴结周围的组织器官出现了病变。因此，腹股沟淋巴结肿大通常提示腹股沟周围的生殖系统、腹腔各器官病变，也包括全身性疾病。,急性浅表性包皮龟头炎,杨梅疮,坏死性淋巴结炎,淋球菌感染,肠系膜淋巴结结核
小腿酸痛,https://jbk.39.net/zhengzhuang/xtst/,,小腿酸痛是有多种原因造成的小腿肌肉酸痛，是多种疾病的症状，一般是由小腿的筋骨长期劳损，缺钙，慢性疾病等引起，中医则认为与气虚有关。,情感性交叉擦腿症,急性单纯外伤性腰腿痛,血栓闭塞性脉管炎,腰腿痛,慢性单纯外伤性腰腿痛
血压高,https://jbk.39.net/zhengzhuang/xyg/,,高血压是一种以体循环动脉收缩压(SBP)和(或)舒张压(DBP)升高为特征的临床综合征，它是目前临床最常见、最重要的心血管疾病之一。随着人们生活水平的不断提高，高血压的患病率也在 年增长，我国是从1959年开始对高血压...,老年人尿路感染,肾病,热射病,肝血虚证,富贵病
腹股沟疼痛,https://jbk.39.net/zhengzhuang/fggtt/,,很多人对腹股沟疼痛不以为意，特别是轻微的疼痛，但事实上，腹股沟疼痛是很多疾病的症状。,腹股沟疝,极外侧型腰椎间盘突出症,股神经干性痛,梨状肌综合征,小儿尿石症
恶心与呕吐,https://jbk.39.net/zhengzhuang/exyot/,,恶心与呕吐是临床常见症状。恶心常为呕吐的前驱感觉，也可单独出现。表现上腹部特殊不适感，常伴有头晕、流涎、脉缓、血压降低等发走神经兴奋症状。呕吐是指胃内容物或一部分小肠内容物，通过食管逆流出口腔的一...,原发性胆总管结石,急性黄疸型肝炎,胆碱能性荨麻疹,交感神经型颈椎病,慢性浅表性胃炎
白色念珠菌感染,https://jbk.39.net/zhengzhuang/bsnzjgr/,,白色念珠菌感染，常表现为阴道炎。念珠菌阴道炎是一种常见的阴道炎，习称霉菌阴道炎，发病率仅次于滴虫阴道炎。由念珠菌中的白色念珠菌感染所致。此菌呈卵园形，有芽生孢子及细胞发芽伸长而形成的假菌丝，假菌丝...,念珠菌病,婴幼儿外阴阴道炎,肛门瘙痒症,单纯性外阴炎,
腹胀,https://jbk.39.net/zhengzhuang/fz/,,腹胀(abdominal distention)即腹部膨胀可由于肠腔腹腔内积气、积液腹内巨大肿物或腹肌无力引起，小儿腹胀多以气胀最为多见。流行病学：为儿科常见症状之一，可由多种病因引起，常为多种疾病的首发症状。,小肠梗阻,肝炎后肝硬化,慢性乙肝,急性黄疸型肝炎,慢性便秘
脚臭,https://jbk.39.net/zhengzhuang/jc/,,脚臭是由于脚心汗腺多，容易出汗，汗液里除含水分、盐分外，还含有乳酸及尿素。在多汗条件下，脚上的细菌大量繁殖并分解角质蛋白，再加上汗液中的尿素、乳酸，这样就会发出一种臭味。若鞋子不透气，空气不流通，...,糜烂型脚气,脚癣,脚气,,
口干舌燥,https://jbk.39.net/zhengzhuang/kgsz/,,日常生活中，不少人有口干舌燥的感觉，但没有引起人们的足够重视。口腔干燥是由多种病因引起的一种表面症状，在这种症状后面，往往掩盖着一些疾病。口干不是一个独立的疾病，很少有文献详细报道这个问题。但...,痰火,恶寒发热,阴虚火旺,小儿疳渴,湿热病
血压低,https://jbk.39.net/zhengzhuang/xyd/,(低血压),低血压是指体循环动脉压力低于正常的状态。正常血压的变异范围很大，随年龄、体质。 环境因素的不同而有很大变化。由于高血压在 临床上常常引起。心脑、肾等重要脏器的损害而备受重视，高血压的标准世界卫生组织...,胆碱能性荨麻疹,体质性低血压,期前收缩,急性失血性贫血,自发性气胸
肛门瘙痒,https://jbk.39.net/zhengzhuang/gmsy/,,"肛门瘙痒症(peritus ani,PA)是一种常见的局部瘙痒症。肛门部有时有轻微发痒，如瘙痒严重，经久不愈则成为瘙痒症。它是一种常见的局限性神经机能障碍性皮肤病。一般只限于肛门周围，有的可蔓延到会阴、外阴或阴囊后方...",女性尖锐湿疣,牛带绦虫病,类圆线虫病,瑞列绦虫病,复孔绦虫病
静脉曲张,https://jbk.39.net/zhengzhuang/jmqz/,(炸筋腿),静脉曲张是指由于血液淤滞、静脉管壁薄弱等因素，导致的静脉迂曲、扩张。身体多个部位的静脉均可发生曲张，比如痔疮其实就是一种静脉曲张，临床可见的还有食管胃底静脉曲张、精索静脉曲张及腹壁静脉曲张等等。静...,腿脚部湿疹,眼眶内静脉曲张,小儿肝母细胞瘤,筋瘤,脉管炎
浑身酸痛,https://jbk.39.net/zhengzhuang/hsst/,(全身酸痛),亚健康状态多表现为浑身酸痛、懒、头晕、腿沉。感觉好像什么也没有干，却感觉还是这么疲劳。而这种疲劳是持续性的，很长时间都不能缓解。,急性细菌性前列腺炎,心脾两虚,湿阻,风寒感冒,广州管圆线虫病
肾阳虚,https://jbk.39.net/zhengzhuang/syx1/,,肾阳虚与现代医学的神经内分泌免疫系统(NEIS)有关，肾阳虚证在下丘脑-垂体-靶腺(肾上腺皮质、甲状腺、性腺、胸腺)轴不同环节、不同程度的功能紊乱，且主要的发病环节在下丘脑(或更高级)的调节功能紊乱。同时认为老年...,不孕不育,肾虚,肾损害,肾虚腰痛,症瘕
血小板减少,https://jbk.39.net/zhengzhuang/xxbjs/,,血小板减少症是指血液中血小板单位细胞数减少或缺乏的症状。发生血小板减少症，通常是由于身体所形成的抗体(有防护症，通常是由于身体所形成的抗体(有防护作用的生化物质)攻击自身的血小板所致。某些急性感染是造...,白血病视网膜病变,同种免疫性新生儿血小板减少性紫癜,药物免疫性血小板减少性紫癜,输血后血小板减少性紫癜,感染性血小板减少性紫癜
左下腹痛,https://jbk.39.net/zhengzhuang/zxft/,,左下腹痛伴腹痛腹泻可能是结肠炎。结肠炎腹痛一般多为隐痛或绞痛，常位于左下腹或小腹。其它表现有食欲不振、腹胀、恶心、呕吐及肝大等;左下腹可 有压痛，有时能触及痉挛的结肠。左下腹痛一般是乙状结肠、左卵巢...,结肠炎,小肠结肠炎耶尔森菌肺炎,溃疡性结肠炎,热带口炎性腹泻,腹胀
阴囊瘙痒,https://jbk.39.net/zhengzhuang/ynsy/,,阴囊瘙痒一般是由阴囊湿疹，过敏性皮炎，疥疮等引起的。阴囊瘙痒是一种十分常见的表现，尤其是男青年。,男性尖锐湿疣,阴囊湿疹,股癣,脱囊,阴虱病
水肿,https://jbk.39.net/zhengzhuang/sz/,(积水),过多的体液在组织间隙或体腔中积聚称为水肿(edema)。正常体腔中只有少量液体，若体腔中体液积聚则称为积水(hydrops)，如腹腔积水(腹水)、胸腔积水(胸水)、心包积水、脑室积水、阴囊积水等。水肿液一般即是组织间液，根...,胆碱能性荨麻疹,肾病,喉炎,结膜炎,肾炎
牙疼,https://jbk.39.net/zhengzhuang/yt/,"(牙痛,牙齿疼痛)",牙痛(toothache)是指牙齿因各种原因引起的疼痛而言，为口腔疾患中常见的症状之一，可见于西医学的龋齿、牙髓炎、根尖周围炎和牙本质过敏等。遇冷、热、酸、甜等刺激时牙痛发作或加重，属中医的“牙宣&rdquo;、“骨槽风...,无痛性心肌梗死,急性脓肿,急性颌骨骨髓炎,艾滋病神经系统损害,
扁桃体发炎,https://jbk.39.net/zhengzhuang/bttfy/,,扁桃腺炎是一种常见的咽喉疾病，口腔内的扁桃腺受病菌感染。扁桃体炎一般是指腭扁桃体的非特异性炎症，可分为急性扁桃体炎、慢性扁桃体炎。急性扁桃体炎大多在机体抵抗力降低时感染细菌或病毒所致，起病急，...,舌扁桃体炎,A链球菌群感染,疱疹性咽峡炎,性病相关性胃肠道感染,病毒性咽炎
膝关节疼痛,https://jbk.39.net/zhengzhuang/xgjtt/,,老寒腿的主要症状，多为膝关节疼痛。反复发作、久治不愈的腿部(多为膝关节)酸麻疼痛，统称为老寒腿。,骨关节病,膝关节骨性关节炎,胫骨平台骨折,骨膜炎,剥脱性骨软骨炎
颌下淋巴结肿大压...,https://jbk.39.net/zhengzhuang/hxlbjzdyt/,,"由于口腔及咽部发炎所导致的颌下淋巴结肿大。淋巴结肿大是指淋巴结直径超过1.5厘米以上，外形改变，质地异常的状况。其病症可能是急性淋巴结炎，较轻的只是局部淋巴结轻度肿大,并有轻压痛.多发生在颌下,颈部,腋下,...",细菌性咽扁桃体炎,恶性淋巴瘤,急性单纯性咽炎,慢性淋巴结炎,颌下间隙感染
小腿水肿,https://jbk.39.net/zhengzhuang/xtsz/,,小腿水肿指小腿血管外的组织间隙中有过多的体液积聚，浮肿状,水肿,腘动脉瘤,妊娠高血压疾病,单神经病与神经丛神经病,多胎
尿频,https://jbk.39.net/zhengzhuang/np/,(溲数),正常成人白天排尿4~6次，夜间0~2次，次数明显增多称尿频。尿频是一种症状，并非疾病。由于多种原因可引起小便次数增多，但无疼痛，又称小便频数。尿频的原因较多，包括神经精神因素，病后体虚，寄生虫病等。对尿频...,老年人尿路感染,急性尿道综合征,男性急性淋病,重度宫颈糜烂,前列腺痛
胸闷,https://jbk.39.net/zhengzhuang/xm/,,胸闷chest distress是一种主观感觉，即呼吸费力或气不够用。轻者若无其事，重者则觉得难受，似乎被石头压住胸膛，甚至发生呼吸困难。它可能是身体器官的功能性表现，也可能是人体发生疾病的最早症状之一。不同年龄的...,交感神经型颈椎病,痰饮,痰热咳嗽,喉喑,产后痉症
盆腔积液,https://jbk.39.net/zhengzhuang/pqjy/,,盆腔积液就是盆腔存在炎性渗出物，可发生在子宫内膜发炎后，内膜组织肿胀的细胞中渗出的略黏稠的液体，被周围组织包裹所渐渐形成的囊性包块。,急性盆腔炎,盆腔炎,,,
夜间盗汗,https://jbk.39.net/zhengzhuang/yjdh/,,以中医观点来看，夜间盗汗有可能是气虚或阴虚造成，如果是气虚引起的盗汗，一般是血管扩张功能不好，可用补中益气汤加减方来调整，心血不足造成的盗汗，心悸少寐，宜补血养心，以归脾汤加减方来治疗;如果是阴虚...,阴疮,局限性胸膜间皮瘤,结核病,放线菌病,
真菌感染,https://jbk.39.net/zhengzhuang/zjgr/,,"真菌感染引起的疾病称为真菌病，发病率最高的念珠菌病和皮肤癣菌病由人体正常菌群的真菌引起， 感染可区分为：表面感染,皮肤感染，皮下组织感染，深部感染和条件性感染。",糜烂型脚气,脚气,念珠菌病,尿路真菌感染,真菌性食物中毒
颈部淋巴结肿大,https://jbk.39.net/zhengzhuang/jblbjzd/,,淋巴结是机体重要的免疫器官，是接受抗原刺激产生免疫应答反应的场所，有过滤、增殖和免疫作用。正常人体浅表淋巴结很小，直径多在0.5cm以内，表面光滑、柔软，与周围组织无黏连，亦无压痛。当机体受到致病因素侵...,妊娠合并巨细胞病毒感染,坏死性淋巴结炎,原发性腮腺淋巴瘤,婴儿玫瑰疹,霍奇金病
反复发烧,https://jbk.39.net/zhengzhuang/fffs/,,支气管异物临床轻、重不一，病程长短不等。病程迁延有继发感染者可反复发烧、咳嗽、肺部可闻及湿罗音。,布鲁氏菌病,气管支气管异物,小儿气管、支气管异物,小儿输尿管脱垂,小儿再发性腹痛
下腹坠胀,https://jbk.39.net/zhengzhuang/xfzz/,,医学症状之一，下腹即小肚子，肚脐以下的部份，坠即下坠，胀即胀满。总的意思是说，小肚子向下坠着膨胀。日常生活中，女性总会遇到很多不可言喻的不适，下腹坠胀就是较常见的一种。下腹坠胀主要与盆腔充血密切相...,女性慢性淋病,轻度宫颈糜烂,人流后妇科病,寒滞肝脉证,慢性附件炎
多尿,https://jbk.39.net/zhengzhuang/dn/,,正常健康人24 h尿量约 1500~2 000ml;如果24h尿量超过2500ml称为多尿,肾病,下消,肾小管间质性肾炎葡萄膜炎综合征,成人T细胞白血病,朗格汉斯组织细胞增多症
月经周期改变,https://jbk.39.net/zhengzhuang/yjzqgb/,,"月经周期改变：两次月经第一天的间隔时间称为一个月经周期,一般为28－30天,正常月经周期为28－35天，周期长短可因人而异，提前或错后7－10天可视为正常范围，只要能保持一定的规律性就不能认为是月经不调。      需注...",不孕不育,行经泄泻,月经失调性不孕症,无排卵性不孕症,不孕症
恶心,https://jbk.39.net/zhengzhuang/ex/,(反胃),"恶心(nausea)是一种可以引起呕吐冲动的胃内不适感,常为呕吐的前驱感觉，但也可单独出现，主要表现为上腹部的特殊不适感，常伴有头晕、流涎、脉搏缓慢、血压降低等迷走神经兴奋症状。",慢性乙肝,时行感冒,宿醉,心脏病,肝热病
髋关节痛,https://jbk.39.net/zhengzhuang/kgjt/,,民间俗称为“胯股痛”。在医学上，我们称其为“髋关节痛”，简称“髋痛”，表现为髋关节或关节周围令人难受的疼痛。引起髋痛的病因很多，不同年龄段各有其主要原因。,外伤性股骨头坏死,酒精性股骨头坏死,激素性股骨头坏死,骨关节病,髋臼骨折
胎动频繁,https://jbk.39.net/zhengzhuang/tdpf/,,胎动指的是胎儿在子宫腔里的活动冲击到子宫壁的动作。怀孕满4个月后，即从第5个月开始母体可明显感到胎儿的活动，胎儿在子宫内伸手、踢腿、冲击子宫壁，这就是胎动。胎动的次数多少、快慢强弱等表示胎儿的安危。...,肾气不固,多胎,胎儿宫内窘迫,胎儿窘迫,双胎妊娠
耳后淋巴结肿大,https://jbk.39.net/zhengzhuang/ehlbjzd/,,在人们生活中常有人在患感冒或其它感染后，颈部、耳后、腋下或腹股沟处可出现如玻璃球大小的结节，局部红肿压痛，按之坚硬，这就是患了淋巴结炎。耳后淋巴结肿大是小儿常见的疾病之一，病原因多为金黄色葡萄球菌...,牙龈炎,中耳炎,腮腺炎,化脓性腮腺炎,扁桃体炎
下肢浮肿,https://jbk.39.net/zhengzhuang/xzsz/,(下肢水肿),分为生理性浮肿和病理性浮肿。下肢浮肿临床常见， 主要见于以下几种疾病性浮肿。①心性浮肿，患有各种心脏病病人， 当心功能不全时，体循环障碍，使下肢静脉回心血量减少，引起浮肿;②肝性浮肿，各种肝炎发生肝硬...,肝炎,腹膜肿瘤,肝癌,脾水,血栓形成
口吐白沫,https://jbk.39.net/zhengzhuang/ktbm/,,口吐白沫指唾液呈泡沫样从嘴巴吐出，一般见于有机磷中毒以及癫痫患者中。,子痫,胰岛素瘤,农药中毒性肾病,强碱类中毒,强酸类中毒
遗精,https://jbk.39.net/zhengzhuang/yj/,,遗精是指在无性交的情况下发生的射精现象，由于男性的睾丸是产生精子的器官，随着年龄的增长，生殖器官的成熟，睾丸每时每刻都在产生精子，精囊和前列腺等也不断分泌精浆，这样精液在体内不断地积蓄，当达到一种...,男性急性淋病,慢性疲劳综合症,阴虚火旺,心肾不交,死精症
下腹疼痛,https://jbk.39.net/zhengzhuang/xftt/,,下腹疼痛，指的是因盆腔器质性或功能性病变引起的下腹疼痛。是妇科不孕不育病人常见的主诉症状之一。下腹疼痛其痛觉都沿交感神经和副交感神经的感觉神经传导。各生殖器对疼痛的敏感程度不同。会阴、外阴、阴道下...,阿米巴痢疾,泌尿生殖系支原体感染,精囊炎,卵巢囊肿,子宫内膜癌
消瘦,https://jbk.39.net/zhengzhuang/xs/,,消瘦是指人体因疾病或某些因素而致体重下降，低于标准体重的10％以上时为消瘦（有作者认为凡体重比标准体重低10％以上者为偏瘦，低于20％以上者称为消瘦）。,慢性浅表性胃炎,寒湿泄泻,糖尿病并结核病,不孕不育,气臌
红斑样皮疹,https://jbk.39.net/zhengzhuang/hbypz/,,是一种很常见的皮肤病的症状，很多皮肤病都有这种症状,接触性荨麻疹,血清病性荨麻疹,皮肤划痕症,皮肤病,瓜藤缠
韧带断裂,https://jbk.39.net/zhengzhuang/rddl/,,生活中，普通人的韧带损伤常见于踝关节、膝关节、掌关节、指关节。韧带断裂一般是因为在活动中，做出超出关节活动范围的动作，导致相关韧带被动牵拉而引起撕裂或完全断裂。韧带断裂往往伴有扭伤和骨折。韧带损伤...,棘上韧带损伤,膝关节内侧副韧带断裂,拇指掌指关节尺侧侧副韧带损伤,踝关节骨折,膝关节侧副韧带损伤
精液发黄,https://jbk.39.net/zhengzhuang/jyfh/,,精液发黄的原因很多，很可能是前列腺炎的症状之一。,,,,,
肺部感染,https://jbk.39.net/zhengzhuang/fbgr/,,肺部感染指包括终末气道、肺泡腔及肺间质在内的肺实质炎症，病因以感染最为常见，还可由理化、免疫及药物引起。统称为肺部感染。其中肺炎较典型，具有代表性。,鼻疽假单胞菌肺炎,小肠结肠炎耶尔森菌肺炎,鼠疫耶尔森菌肺炎,肺炎克雷白杆菌肺炎,摩根菌肺炎
太阳穴胀痛,https://jbk.39.net/zhengzhuang/tyxzt/,,当人们长时间连续用脑后，太阳穴往往会出现重压或胀痛的感觉，这就是大脑疲劳的信号。,脑炎,脑外伤,脑病,电脑病,脑鸣
神经痛,https://jbk.39.net/zhengzhuang/sjt/,(痛性抽搐),疼痛是神经科常见症状之一，此种疼痛是指在没有外界刺激的条件下而感到的疼痛，又称为自发痛。自发痛的种类很多，按病变的部位可分为周围神经性痛和中枢神经性痛。,神经病,神经痛疾病,结节性多动脉炎伴发的葡萄膜炎,水痘-带状疱疹性葡萄膜炎,莱姆病性巩膜炎
小三阳,https://jbk.39.net/zhengzhuang/xsy/,(非活动性HBsAg携带...),小三阳是指在乙肝两对半检查中，把乙肝表面抗原(HBsAg)、乙肝e抗体(抗HBe)和乙肝核心抗体(抗HBc)三项指标同时阳性的现象称为“小三阳&rdquo;,急性乙肝,乙肝,病毒性肝炎,肝炎双重感染,肝炎后肝硬化
脾胃湿热,https://jbk.39.net/zhengzhuang/pwsr/,,脾胃湿热见症多端，胃脘疼痛，嘈杂灼热，口干不欲饮，饥而不欲食，小便色黄，大便不畅是脾胃湿热的辨证要点。对此症的治疗应本着清热不碍利湿，利湿不助热的原则，应用三仁汤加减，常加冬瓜皮、茵陈，使湿祛热清...,,,,,
阴毛早发育,https://jbk.39.net/zhengzhuang/ymzfy/,,阴毛早发育：正常情况下女孩在乳房发育后数月出现阴毛;男孩在阴茎、睾丸发育后数月才出现阴毛。早发育者阴毛可出现于任何年龄，女孩多于男孩。阴毛量少，有时还有腋毛，但其他性征发育正常。多数食用含有激素的...,先天性肾上腺皮质增生症,青春发育延迟及性幼稚,颅内肿瘤伴发的精神障碍,颅内肿瘤性出血,早熟性儿童乳房肥大症
