Name,Website,Aliases,Description,Related Symptom 1,Related Symptom 2,Related Symptom 3,Related Symptom 4
腰肌劳损,https://jbk.39.net/yjls/,,慢性腰肌劳损，为临床常见病，多发病，发病因素较多，主要症状是腰部酸痛，日间劳累加重，休息后可减轻，日积月累，可使肌纤维变性，甚而少量撕裂，形成疤痕或纤维索条或粘连，遗留长期慢性腰背痛。治疗上以非手...,劳累时腰部酸痛或胀痛,腰酸背痛,产育过多后腰痛,腰部的不稳交锁现象
慢性咽炎,https://jbk.39.net/mxyy/,(梅核气),慢性咽炎为咽部粘膜、粘膜下及淋巴组织的弥漫性炎症，常为上呼吸道炎症的一部分，多见于成年人，病程长，症状顽固，较难治愈。常因急性咽炎反复发作、鼻炎、鼻窦炎的脓液刺激咽部，或鼻塞而张口呼吸，导致慢性咽...,咽部充血,咽痛,咽部异物感,咽部慢性充血
梅毒,https://jbk.39.net/md/,(霉疮;广疮;棉花疮;...),梅毒是由苍白螺旋体即梅毒螺旋体引起的一种慢性性传播疾病。可以侵犯皮肤、粘膜及其他多种组织器官，可有多种多样的临床表现，病程中有时呈无症状的潜伏状态。病原体可以通过胎盘传染给胎儿而发生胎传梅毒。...,会阴溃疡,粘膜疹,硬下疳,肉芽肿
尿路感染,https://jbk.39.net/nlgr/,"(尿感,泌尿道感染)",尿路感染(urinary tract infection，UTI)是指病原体在尿路中生长繁殖，并侵犯泌尿道黏膜或组织而引起的炎症，是细菌感染中最常见的一种感染。尿路感染分为上尿路感染和下尿路感染，上尿路感染指的是肾盂肾炎，下尿路感染...,下腹痛,寒战,白细胞尿,复杂性尿路感染
鼻窦炎,https://jbk.39.net/bdy/,"(鼻渊,鼻炎)",鼻窦炎是指发生在鼻窦粘膜的炎症。在各种鼻窦炎中，前组鼻窦发病率高，以上颌窦发病最常见，其后依次为筛窦、额窦和蝶窦。鼻窦炎可以单发，亦可以多发。最常见的致病原因为鼻腔感染后继发鼻窦化脓性炎症。此外，...,鼻窦压痛,带血粘脓鼻涕,脓鼻涕增多且不易擤尽,眼眶疼痛
皮肤过敏,https://jbk.39.net/pfgm/,(皮炎),皮肤过敏是一种很常见的过敏形式，有20%的人有皮肤过敏现象。皮肤过敏又称为敏感性皮肤。从医学角度讲，皮肤过敏主要是指当皮肤受到各种刺激如不良反应的化妆品、化学制剂、花粉、某些食品、污染的空气等等，导致...,瘙痒,突发、无痛的局部水肿,日光照射引起皮肤过敏,丘疹
胃癌,https://jbk.39.net/wa/,(癍瘕积聚),胃癌是我国最常见的恶性肿瘤之一 ，在我国其发病率居消化道肿瘤的首位，每年约有17万人死于胃癌，是一种严重威胁人民身体健康的疾病。胃癌可发生于任何年龄，但以40～60岁多见，男多于女，约为3：1。癌变可发生于胃...,胃纳减退,食欲较差,上腹部包块,肚子疼
生殖器疱疹,https://jbk.39.net/szqpz/,(阴部疱疹),生殖器疱疹是一种比较常见的性病，主要是通过性生活传染还可以通过母婴传染，间接性接触传染等， 是单纯疱疹病毒引起的，表现为局部呈簇的痛性水泡，周期性发作。,脓疱,肚子疼,阴茎疼痛,白色恶露
前列腺增生,https://jbk.39.net/qlxzs/,(前列腺肥大症),前列腺增生症，旧称前列腺肥大，中老年男性的常见病之一，是前列腺的一种良性病变，其增生的病因，跟男性激素变化以及睾丸变化也有着密切的关系。同时性生活过度、手淫、性交中断和刺激性食物等，皆可引起睾丸、...,尿流变细或中断,尿流中断,尿后滴沥,膀胱排空不全
过敏性鼻炎,https://jbk.39.net/gmxby/,"(变态反应性鼻炎,...)",变态反应性鼻炎简称变应性鼻炎，一般又称过敏性鼻炎，是发生在鼻粘膜的变态反应，也是呼吸道变态反应常见的表现形式，有时和支气管哮喘同时存在。本病发病率在近20年有显著增加趋热，在发达国家尤为如此。发病年...,鼻粘膜肿胀,打喷嚏,鼻黏膜和鼻甲萎缩,鼻溢液
脂肪肝,https://jbk.39.net/zfg/,(脂肝，肝癖，肝痞),脂肪肝，是指由于各种原因引起的肝细胞内脂肪堆积过多的病变。脂肪性肝病正严重威胁国人的健康，成为仅次于病毒性肝炎的第二大肝病，已被公认为隐蔽性肝硬化的常见原因。脂肪肝是一种常见的临床现象，而非一种独...,肝肿大,肝区痛,疲劳,消瘦
卵巢囊肿,https://jbk.39.net/lcnz/,,卵巢囊肿广义上属于卵巢肿瘤的一种，其病理形态多种多样，是最常见的妇科疾病。各个年龄均可患病，但以20~50岁最多见。根据其性质和形态不同可分为：单一型或混合型、一侧性或双侧性、囊性或实质性、良性或恶性，...,下腹坠胀,下腹部包块,下腹疼痛,下腹坠痛
性交疼痛,https://jbk.39.net/xjtt/,(交媾困难，性感不...),性交疼痛是指夫妻性交时不是感到愉快而是感到不适甚至疼痛。性交疼痛现象，有的发生在婚后不久，有的很久才发生，也有的到妇女更年期才发现。疼痛的部位有时仅在外阴部，也有时在阴道内部，还有的影响到腹部、腰...,阴道闭锁,阴道粘连,外阴萎缩,阴道裂伤
滴虫性阴道炎,https://jbk.39.net/dcxydy/,(阴道毛滴虫病，滴...),滴虫阴道炎(trichomona1vaginitis)是常见的阴道炎，由阴道毛滴虫所引起。滴虫呈梨形，后端尖，约为多核白细胞的2～3倍大小。虫体顶端有鞭毛4根，体部有波动膜，后端有轴柱凸出。活的滴虫透明无色，呈水滴状，诸鞭毛随波...,白带增多,阴道脓性分泌物,外阴烧灼刺激感,阴部灼热
宫颈癌,https://jbk.39.net/gja/,(子宫颈癌，五色带),宫颈癌是目前唯一一个病因明确的妇科恶性肿瘤，与高危型人乳头瘤病毒的持续感染相关。HPV病毒是一种双链DNA病毒，主要感染皮肤粘膜上皮，导致不同病变。其它高危因素有：1. 性行为：过早开始性生活，多个性伴侣；2. ...,脓血性白带,消瘦,乳头样增生变化,阴道转移
肺结核,https://jbk.39.net/fjh/,(肺结核病，结核病...),结核病俗称“肺痨”，它是由结核杆菌侵入人体后引起的一种具有强烈传染性的慢性消耗性疾病。它不受年龄、性别、种族、职业、地区的影响，人体许多器官、系统均可患结核病，其中以肺结核最为常见。肺结核的传染90%...,低烧,食欲减退,乏力,咳嗽
便秘,https://jbk.39.net/bm/,"(大便秘结,大便难)",便秘(senile constipation)是指排便次数减少，同时排便困难，粪便干结。正常人每天排便1～2次或2～3天排便1次，便秘患者每周排便少于2次，并且排便费力，粪质硬结、量少。便秘可见于年轻人，但是老年人更常见，约1/3的老年...,排便困难,粪便硬结如羊粪状,便血,排便时间过长
外阴瘙痒,https://jbk.39.net/wysy/,"(外阴瘙痒症,外阴...)",外阴瘙痒是外阴各种不同病变所引起的一种症状，但也可发生于外阴完全正常者，一般多见于中年妇女，当瘙痒加重时，患者多坐卧不安，以致影响生活和工作。,瘙痒,剧痒,阵发性瘙痒,
肺炎,https://jbk.39.net/fy/,(下呼吸道感染，肺...),肺炎是指终末气道、肺泡和肺间质的炎症，可由疾病微生物、理化因素、免疫损伤、过敏及药物所致。细菌性肺炎是最常见的肺炎，也是最常见的感染性疾病之一。日常所讲的肺炎主要是指细菌性感染引起的肺炎，此肺炎也...,发烧,咳嗽,咳痰,肺源性呼吸困难
甲亢,https://jbk.39.net/jk/,(甲状腺功能亢进，...),甲亢，医学术语上指“甲状腺毒症”：是过量的甲状腺激素导致的临床症状，而甲状腺功能亢进症则仅限于甲状腺。是本身激素合成和分泌过度而引起的甲状腺毒症。甲亢是个器官免疫性的疾病，最常侵犯的是甲状腺、眼睛...,高代谢征群,突眼症,甲状腺肿大,甲状腺结节
失眠症,https://jbk.39.net/smz/,"(不眠症,入睡和保...)",失眠通常指患者对睡眠时间和或质量不满足并影响白天社会功能的一种主观体验，包括入睡困难、时常觉醒及(或)晨醒过早。可引起人的疲劳感、不安、全身不适、无精打采、反应迟缓、头痛、记忆力不集中等症状，它的最...,入睡困难,睡过之后精力没有恢复,清晨早醒且不能再度入睡,噩梦
坐骨神经痛,https://jbk.39.net/zgsjt/,(偏痹),坐骨神经痛是以坐骨神经支配区域疼痛为主的综合征，是一种临床症状，而不是一个单独的疾病。坐骨神经痛分为原发和继发；原发少见，即坐骨神经炎；继发常见，是局部及周围组织病变累及坐骨神经，常见的有腰椎间盘...,背部酸痛,腰部僵直感,臀部闪电疼痛,足的放射性疼痛
淋病,https://jbk.39.net/lb/,(淋菌性尿道炎),淋病是由淋病奈瑟菌(简称淋球菌)引起的泌尿生殖系统的化脓性感染，也可侵犯眼睛、咽部、直肠和盆腔等处以及血行播散性感染。是常见的性传播疾病之一。包括了男性急性淋病、男性慢性淋病、女性急性淋病、女性...,尿道局部肿胀,尿道口痒,尿道口有白膜形成,白色黏液状尿
胃溃疡,https://jbk.39.net/wky/,(慢性溃疡),胃溃疡是消化性溃疡的一种，即发生于胃和十二指肠的慢性溃疡，是一种多发病、常见病。溃疡的形成有各种因素，其中酸性胃液对黏膜的消化作用是溃疡形成的基本因素。酸性胃液接触的任何部位，如食管下段、胃肠吻合...,胃疼,胃部隐痛,腹胀,便血
心肌梗塞,https://jbk.39.net/xjgs/,"(心肌梗死,心梗)",心肌梗塞又称心肌梗死，是指在冠状动脉病变的基础上，发生冠状动脉血供急剧减少或中断，引起相应的心肌严重而持久地急性缺血性坏死。临床表现呈突发性，剧烈而持久的胸骨后疼痛，特征性心电图动态衍变及血清酶的...,心慌气短,心音异常,心源性晕厥,心电图异常
直肠癌,https://jbk.39.net/zca/,,直肠癌是指位于齿状线至乙状结肠、直肠交界处之间的癌。是胃肠道中最常见的恶性肿瘤之一。主要表现为腹部隐隐作痛，腹部不适等；直肠癌进展到晚期会有明显的下腹痛，随着病情的进展，肿瘤增长到一定程度，患者会...,大便变细形似铅笔,粪柱变形变细,直肠疼痛,下消化道少量出血
类风湿性关节炎,https://jbk.39.net/lfsxgjy/,"(类风湿关节炎,类...)",类风湿关节炎(rheumatoid arthritis，RA)是一种以侵蚀性关节炎为主要表现的全身性自身免疫病。本病临床表现为以双手和腕关节等小关节受累为主的对称性、持续性多关节炎。病理表现为关节滑膜的慢性炎症、血管翳形成，并可...,爪状趾,晨僵,关节疼痛,关节肿胀
附件炎,https://jbk.39.net/fjy/,"(输卵管炎,卵巢炎...)", 女性内生殖器官中，输卵管、卵巢被称为子宫附件。附件炎是指输卵管和卵巢的炎症。一般指急性附件炎、慢性附件炎、输卵管炎、卵巢炎，但输卵管、卵巢炎常常合并有宫旁结缔组织炎、盆腔腹膜炎，且在诊断时也不易...,白带增多,下腹疼痛,下腹坠胀,腰骶部酸痛
宫外孕,https://jbk.39.net/gwy/,(异位妊娠),凡孕卵在子宫腔以外的任何部位着床者，统称为异位妊娠，习称为宫外孕。根据着床部位不同，有输卵管妊娠、卵巢妊娠、腹腔妊娠、宫颈妊娠、子宫残角妊娠等。异位妊娠中，以输卵管妊娠最多见。约占90%以上。,孕早期腹痛,难免流产或不可避免流产,妊娠时伴有腹痛的阴道流血,妊娠反应
包皮过长,https://jbk.39.net/bpgz/,(包皮包茎阴茎),包皮过长是指男子成年后，阴茎皮肤包裹龟头，使龟头不能完全外露。,性交困难,龟头瘙痒,包皮粘连,器质性早泄
阴囊湿疹,https://jbk.39.net/ynsz/,"(绣球风,胞漏疮)",阴囊湿疹是湿疹的一个亚型，它还俗称“绣球风”、“胞漏疮”等。是一种内外因素引起的过敏性皮肤病。阴囊湿疹一般还分急性、亚急性、慢性等。阴囊湿疹是岭南地区夏季最多见的一种男科皮肤病。由于阴囊表皮起红色...,阴囊上有白色小疙瘩,阴囊瘙痒,股部内侧靠近阴囊处的皮疹,
慢性鼻炎,https://jbk.39.net/mxby/,,慢性鼻炎(chronic rhinitis )是鼻腔粘膜和粘膜下层的慢性炎症。表现为鼻粘膜的慢性充血肿胀，称慢性单纯性鼻炎。若发展为鼻粘膜和鼻甲骨的增生肥厚，称慢性肥厚性鼻炎。若鼻粘膜深红色，表面干燥无光，鼻道有丝状分泌...,鼻黏膜和鼻甲萎缩,鼻粘膜干燥发痒,鼻塞及反射性头痛,鼻内发痒
水痘,https://jbk.39.net/sd/,(水花，水疱),水痘是一种传染性极强的儿童期出疹性疾病，与带状疱疹为同一病毒所引起的两种不同表现的临床病症，水痘为原发感染。经过飞沫或接触传播，感染后可获得持久的免疫力，但以后可以发生带状疱疹。其临床表现为皮肤黏...,发烧,疱疹,斑疹,丘疹
尿毒症,https://jbk.39.net/ndz/,,尿毒症实际上是指人体不能通过肾脏产生尿液，将体内代谢产生的废物和过多的水分排出体外，引起的毒害。现代医学认为尿毒症是肾功能丧失后，机体内部生化过程紊乱而产生的一系列复杂的综合征。而不是一个独立的疾...,下肢浮肿,少尿,肾衰竭,慢性肾损害
低血压,https://jbk.39.net/dxy/,(血压过低),低血压是指体循环动脉压力低于正常的状态。正常血压的变异范围很大，随年龄、体质。 环境因素的不同而有很大变化。由于高血压在 临床上常常引起。心脑、肾等重要脏器的损害而备受重视，高血压的标准世界卫生组织...,头痛,头晕,无力,疲乏
精索静脉曲张,https://jbk.39.net/jsjmqz/,(静脉曲张),精索静脉曲张是由什么引起的呢？精索静脉曲张是一种常见于青年与壮年的疾病，是指由于精索静脉血流淤积而导致精索蔓状丛血管扩张，迂曲和变长。,精索增粗肿胀,输精管变粗,阴囊肿大,
哮喘,https://jbk.39.net/xc/,(支气管哮喘),哮病是由于宿痰伏肺，遇诱因或感邪引触，以致痰阻气道，肺失肃降，痰气搏击所引起的发作性痰鸣气喘疾患。发作时喉中哮鸣有声，唿吸气促困难，甚至喘息不能平卧为主要表现。哮病是内科常见病证之一，在我国北...,小支气管平滑肌挛缩,气喘,鼻煽,喉鸣声
反流性食管炎,https://jbk.39.net/flxsgy/,(胃食管反流病，食...),反流性食管炎(reflux esophagitis)系指由于胃和(或)十二指肠内容物反流入食管，胃食管反流分为生理性和病理性两种。生理性胃食管反流见于正常人，无临床意义。若反流较正常人发生频繁，不能及时清除酸性消化性胃液以及...,胸骨后烧灼样痛,吐酸,反酸,吞咽时胸痛
银屑病,https://jbk.39.net/yxb/,"(牛皮癣,白疕,松皮)",银屑病俗称牛皮癣，是一种常见的易于复发的慢性炎症性皮肤病，特征性损害为红色丘疹或斑块上覆有多层银白色鳞屑。青壮年发病最多，男性发病多于女性，北方多于南方，春冬季易发或加重，夏秋季多缓解。病因和发病...,丘疹,点状出血,全身弥漫性潮红,皮肤瘙痒
粉刺,https://jbk.39.net/cc/,"(痤疮,青春痘,暗疮,...)",痤疮，俗称青春痘、粉刺、暗疮，中医古代称面疮，酒刺。 是一种毛囊皮脂腺的慢性炎症性疾病，其发生主要与青春期后皮脂过多、毛囊皮脂腺导管堵塞、细菌继发感染和炎症反应等因素密切相关。其主要表现为，皮肤颜...,眉弓凹陷,下巴长痘,婴儿黑头粉刺,背部长痘
灰指甲,https://jbk.39.net/hzj/,(甲真菌病 ),甲真菌病(onychomycosis)是由皮肤癣菌、酵母菌和非皮肤癣菌性丝状真菌(霉菌)引起的指(趾)甲感染。仅由皮肤癣菌感染甲板引起的甲病称为甲癣(tinea unguium)。趾甲癣大多由足癣直接传播，指甲癣则可能由手癣传播或因搔抓身体...,轻压指甲，指头微红状不能马上恢复,凹甲,指甲呈扁平形,指甲嵌入肉
男性不育,https://jbk.39.net/nxby/,,男性不育是指男女双方未采取任何避孕措施而没怀孕，并且女方检查正常的情况，称之为男性不育。男性不育主要分两种，第一种是精子异常，主要是少弱畸形精子症和无精子症；其中弱精子症最常见，就是其前向运动精子...,精血不足,精子凝集,精子稀少,精子大头畸形
股骨头坏死,https://jbk.39.net/ggths/,(骨蚀、股骨头无菌...),股骨头坏死因其主要病理系股骨头血运受阻，遭受破坏而引起的股骨头骨质缺血，故多称为股骨头缺血性坏死或股骨头无菌性坏死。常见的类型有：激素性股骨头坏死、酒精性股骨头坏死、外伤性股骨头坏死 老年股骨头坏...,髋关节痛,间歇性跛行,大腿肌肉萎缩,大腿刺痛
白血病,https://jbk.39.net/bxb/,(血癌),1847年德国病理学家鲁道夫魏尔啸首次识别了白血病。白血病的病源是由于细胞内脱氧核糖核酸的变异形成的骨髓中造血组织的不正常工作。骨髓中的干细胞(stem cell)每天可以制造成千上万的红血球和白血球。白血病病人过分...,持续性弛张热,继发感染,骨髓象左移现象,骨髓巨核细胞成熟障碍
骨质增生,https://jbk.39.net/gzzs/,"(增生性骨关节炎,...)",骨质增生症又称为增生性骨关节炎、骨性关节炎(OA)、退变性关节病、老年性关节炎、肥大性关节炎，是由于构成关节的软骨、椎间盘、韧带等软组织变性、退化，关节边缘形成骨刺，滑膜肥厚等变化，而出现骨破坏，引起...,膝盖长骨刺,关节肿痛,脊柱退变,食指和中指僵硬痛麻
子宫内膜异位症,https://jbk.39.net/zgnmywz/,"(子宫腺肌病,内在...)",正常情况下，子宫内膜覆盖于子宫体腔面，如因某种因素，使子宫内膜在身体其他部位生长，即可成为子宫内膜异位症。这种异位的内膜在组织学上不但有内膜的腺体，且有内膜间质围绕;在功能上随雌激素水平而有明显变...,女性不孕,子宫内膜增生性病变,,
尿道炎,https://jbk.39.net/ndy/,(尿道炎症),"尿道炎(urethritis)是指尿道黏膜的炎症,是一种常见病，多见于女性，临床上分为急性和慢性、非特异性尿道炎和淋菌性尿道炎，后两种临床表现类似，必须根据病史和细菌学检查加以鉴别。多为致病菌逆行侵入尿道引起。",尿道烧灼感,尿道痒感,尿血,白色黏液状尿
心绞痛,https://jbk.39.net/xjt/,"(冠心病,缺血性心...)",心绞痛(angina pectoris)是冠状动脉供血不足，心肌急剧的、暂时缺血与缺氧所引起的临床综合征。其特点为阵发性的前胸压榨性疼痛感觉，可伴有其他症状，疼痛主要位于胸骨后部，可放射至心前区与左上肢，常发生于劳动或...,皮肤苍白,出冷汗,心脏杂音,呼吸异常
骨质疏松,https://jbk.39.net/gzss/,(骨质疏松症),骨质疏松症(osteoporosis)是一种系统性骨病，其特征是骨量下降和骨的微细结构破坏，表现为骨的脆性增加，因而骨折的危险性大为增加，即使是轻微的创伤或无外伤的情况下也容易发生骨折。骨质疏松症是一种多因素所致的...,腰骶疼痛,广泛性骨质疏松,驼背,骨骼变形缩短
精神分裂症,https://jbk.39.net/jsflz/,,精神分裂症(schizophrenia)是以基本个性改变，思维、情感、行为的分裂，精神活动与环境的不协调为主要特征的一类最常见的精神病。精神分裂症是精神病中最常见的一组精神病，美国六个区的调查资料显示，其年发病率为0.4...,联想障碍,情感淡漠,思维松弛,幻觉
神经衰弱,https://jbk.39.net/sjsr/,(神经衰弱症，神劳),神经衰弱是一种以脑和躯体功能衰弱为主的神经症。以易于兴奋又易于疲劳为特征，常伴有紧张、烦恼、易激惹等情绪症状及肌肉紧张性疼痛、睡眠障碍等生理功能紊乱症状。这些症状不是继发于躯体疾病和脑器质性病变，...,易疲乏,感觉过敏,注意力不集中,多疑
扁平疣,https://jbk.39.net/bpy/,(瘊子),扁平疣是人类乳头瘤病毒引起的皮肤上突出的病变，又称青年扁平疣。表面多扁平光滑，无明显不适，好发于青少年面部、手背等处。常呈慢性病变过程，属良性疾病。可以治愈，无严重危害。,皮肤瘙痒,丘疹,,
高血压,https://jbk.39.net/gxy/,(高血压病，风眩),高血压是以体循环动脉压升高为主要临床表现的心血管综合征，在未用抗高血压药的情况下，非同日3次测量，收缩压≥140mmHg和(或)舒张压≥90mmHg，可诊断为高血压。高血压是最常见的慢性病，也是心脑血管病最主要的危险...,头晕,视力障碍,心功能失代偿,剧烈头痛
偏头痛,https://jbk.39.net/ptt/,(偏头风),偏头痛是一类有家族发病倾向的周期性发作疾病。表现为发作性的偏侧搏动性头痛，伴恶心、呕吐及羞明，经一段歇期后再次发病。在安静、黑暗环境内或睡眠后头痛缓解。在头痛发生前或发作时可伴有神经、精神功能障碍...,单侧头痛,电击样痛或刺痛的头痛,头痛为搏动性,儿童偏头痛
幽门螺杆菌感染,https://jbk.39.net/ymlgjgr/,(幽门螺旋杆菌感染),幽门螺杆菌是一种螺旋状、革兰阴性、微需氧性细菌。人群中几乎一半终身感染，感染部位主要在胃及十二指肠球部。早在1893年，Bizzozero报道在狗的胃内观察到一种螺旋状微生物。之后，Kreintz和Rosenow在人胃内也发现了螺旋...,肚子疼,腹胀,恶心,反酸
性欲亢进,https://jbk.39.net/xykj/,"(性欲过盛,性欲过)",性欲亢进症，或称性欲过盛症，是指对性行为要求过于强烈、性交过于频繁且能完成性交全过程为主要特征的疾病。主要临床表现为性交过频、过快、过剧，甚者见性即有性兴奋，烦躁不安。中医文献将本病列入阳强病范畴...,性上瘾,,,
心肌炎,https://jbk.39.net/xjy/,,心肌炎（myocarditis）是指由各种原因引起的心肌的局限性或弥漫性炎症。虽然某些心肌炎由于在终期可过渡为充血性或限制性心肌病，而被某些学者视为继发性心肌病，但在发病学上心肌炎毕竟是可区分的疾病类型。引起心...,恶心与呕吐,疲劳,不典型胸痛,胸闷
肝硬化,https://jbk.39.net/gyh/,,肝硬化是临床常见的慢性进行性肝病，由一种或多种病因长期或反复作用形成的弥漫性肝损害。临床上早期由于肝脏功能代偿较强，可无明显症状；后期则有多系统受累，以肝功能损害和门脉高压为主要表现，并常出现消化...,疲乏,乏力,食欲不振,门脉高压
胆囊息肉,https://jbk.39.net/dnxr/,"(胆囊息肉样病变,...)","胆囊息肉(polyp of gallbladder)，是指胆囊壁向囊腔内呈息肉样隆起的一类病变。又称为胆囊息肉样病变(polypoid lesion of gallbladder,PLG)。胆囊息肉样病变可分为良性或恶性病变，但以非肿瘤性病变为多，一般认为直径15mm以上的胆囊...",右上腹痛,恶心与呕吐,食欲下降,息肉样损害
拉肚子,https://jbk.39.net/fx/,"(腹泻,泻肚子)",正常人一般每日排便一次，个别人每日排便2～3次或每2～3日一次，粪便的性状正常，每日排出粪便的平均重量为150～200g，含水分为60%～75%。腹泻(diarrhea)是一种常见症状，是指排便次数明显超过平日习惯的频率，粪质稀薄，...,水样便,口唇泛黑,营养不良性水肿,脂肪泻
